SolutionID,TotalCost,NumNodes,TotalDistance,ObjectiveFunction,TotalRunningTime,TotalIterations,Cycle
1,70455,100,22520,92975,50000,24991,"42-43-184-160-48-54-177-10-190-4-112-84-35-131-149-65-116-59-115-46-118-51-176-80-63-79-133-151-162-123-127-70-135-154-180-53-121-94-124-152-1-101-97-26-100-86-75-2-120-44-25-129-92-57-179-145-78-16-171-175-113-56-31-157-196-81-90-165-40-185-55-52-106-178-14-49-102-144-62-9-148-137-23-89-183-143-0-117-93-140-108-18-139-41-193-159-22-146-34-181"
2,70166,100,23394,93560,50002,24758,"193-41-181-34-160-48-54-177-10-190-4-112-84-184-43-42-115-139-68-46-51-118-59-116-65-149-123-127-70-135-154-180-53-100-26-86-75-101-1-97-152-2-120-44-25-16-171-175-113-31-78-145-92-129-57-55-52-185-165-40-196-81-90-27-164-7-21-14-106-178-49-102-144-62-9-15-148-124-94-63-79-133-162-151-80-176-137-23-89-183-143-0-117-93-140-108-18-22-146-159"
3,70531,100,22671,93202,50002,21801,"81-196-157-56-113-175-171-16-31-78-145-179-92-129-25-44-120-2-75-101-1-97-152-94-26-100-86-53-180-154-135-70-127-123-162-151-133-79-63-80-176-51-59-118-46-68-139-115-5-42-43-116-65-149-35-84-112-4-190-10-177-54-48-184-160-34-181-146-22-159-41-193-18-108-140-93-117-0-143-183-89-23-137-148-9-62-102-49-144-14-3-178-106-52-55-57-185-40-165-90"
4,70598,100,22857,93455,50000,19873,"177-10-190-184-35-84-4-112-123-149-59-118-151-133-162-127-70-135-154-180-53-100-26-97-152-1-101-86-75-2-120-44-25-129-92-57-179-145-78-16-171-175-113-56-31-157-196-81-90-165-40-185-55-52-106-178-3-14-144-49-102-62-9-148-124-94-63-79-80-176-51-137-23-89-183-143-117-0-46-115-139-68-93-140-108-18-22-146-159-193-41-116-65-43-42-181-34-160-48-54"
5,70596,100,22530,93126,50001,22977,"193-18-108-140-93-117-143-183-89-23-137-0-46-68-139-115-5-42-43-116-65-131-149-59-118-51-176-80-79-63-94-124-148-9-62-144-14-102-49-178-106-52-55-57-185-40-119-165-90-81-196-157-31-56-113-175-171-16-78-145-179-92-129-25-44-120-2-75-101-1-152-97-26-100-86-53-180-154-70-135-133-151-162-123-127-112-4-84-35-184-177-54-48-160-34-181-146-22-159-41"
6,70099,100,22720,92819,50001,22934,"129-120-44-25-78-16-171-175-113-56-31-145-92-57-179-196-81-90-165-40-185-55-52-106-178-49-14-144-102-62-9-148-137-23-186-89-183-143-0-117-93-140-108-18-22-146-181-159-193-41-139-68-46-115-116-43-42-184-160-34-48-54-177-10-190-4-112-84-35-131-149-65-59-118-51-176-80-79-133-151-162-123-127-70-135-154-180-53-63-94-124-152-1-97-26-100-86-101-75-2"
7,70445,100,22841,93286,50003,21034,"49-178-106-52-55-57-92-179-145-78-16-171-175-113-31-157-196-81-90-165-119-40-185-138-14-144-15-186-23-89-183-143-0-117-93-140-108-18-22-146-159-193-41-139-68-46-115-42-181-34-160-48-54-177-10-190-4-112-84-184-43-116-65-59-118-51-137-176-80-79-133-151-162-123-127-70-135-154-180-53-63-94-152-1-97-26-100-86-101-75-2-120-44-25-129-167-148-9-62-102"
8,70348,100,22843,93191,50001,22913,"116-65-131-149-123-162-151-133-79-80-176-51-118-59-115-139-46-68-140-93-117-0-143-183-89-23-137-186-114-15-144-14-49-102-62-9-148-124-94-63-100-26-97-152-2-129-92-78-145-179-57-55-52-178-106-185-40-165-90-81-196-157-31-56-113-175-171-16-25-44-120-75-1-101-86-53-180-154-135-70-127-112-4-190-10-177-54-184-160-34-181-146-22-18-108-159-193-41-42-43"
9,70625,100,23294,93919,50001,26651,"94-124-148-102-49-178-106-52-55-57-92-129-2-120-44-25-16-171-175-113-56-31-78-145-179-196-81-90-40-185-165-138-14-144-62-9-15-186-137-23-89-183-143-0-117-93-140-68-46-51-118-59-115-139-41-193-159-108-18-22-146-181-42-160-34-48-54-177-10-190-4-112-84-184-43-116-65-149-123-127-70-135-154-180-133-162-151-176-80-79-63-53-100-26-86-75-101-1-97-152"
10,70091,100,22770,92861,50000,23723,"176-51-118-59-115-139-193-41-42-43-116-65-149-162-151-133-80-79-63-94-124-152-167-148-9-62-102-144-14-49-178-106-52-55-57-129-92-179-185-40-165-90-81-196-145-78-31-56-113-175-171-16-25-44-120-2-75-86-101-1-97-26-100-53-180-154-135-70-127-123-112-4-84-35-184-190-10-177-54-48-160-34-181-146-22-159-18-108-140-93-68-46-0-117-143-183-89-186-23-137"
