SolutionID,TotalCost,NumNodes,TotalDistance,ObjectiveFunction,TotalRunningTime,TotalIterations,Cycle
1,74253,100,26493,100746,50000,604250,"162-127-70-135-154-180-133-151-176-80-79-63-94-124-152-97-1-100-53-26-86-101-75-2-120-25-44-31-56-113-171-175-16-129-92-57-55-52-179-145-78-196-81-90-27-39-165-40-185-178-106-9-62-49-144-14-102-148-15-114-186-23-137-51-118-116-41-115-42-43-65-59-46-68-0-89-183-143-117-93-140-108-18-139-193-159-22-146-181-34-160-48-54-177-184-35-84-4-112-123"
2,71854,100,24986,96840,50000,389040,"175-171-16-25-44-120-2-152-97-1-101-75-86-26-53-180-154-135-70-127-112-4-184-54-10-177-84-35-123-131-43-42-160-48-34-146-22-159-181-41-193-18-108-140-93-117-143-0-183-89-23-137-51-59-118-46-68-139-115-116-65-149-162-151-133-176-80-79-63-94-124-148-9-62-102-49-14-144-21-7-164-27-90-81-196-40-165-185-106-178-52-55-57-92-129-179-145-78-31-113"
3,72567,100,25226,97793,50000,388933,"133-80-176-137-23-186-148-167-55-57-129-2-120-44-25-16-171-113-175-31-78-179-92-145-196-81-40-90-165-185-52-106-178-14-49-102-144-62-9-15-114-89-183-143-0-117-93-140-108-18-22-146-42-43-65-116-184-84-112-4-190-10-177-54-48-160-34-181-41-193-159-68-46-139-115-59-118-51-151-162-123-149-127-70-135-154-180-53-121-26-86-75-101-1-97-152-124-94-63-79"
4,74036,100,26361,100397,50000,273379,"113-56-31-157-196-81-90-40-165-185-179-78-145-92-2-152-1-97-101-75-86-26-100-94-124-148-63-53-180-133-79-80-176-154-135-70-127-162-151-51-59-149-123-112-4-84-35-184-43-65-116-42-160-48-177-54-34-181-41-115-139-193-159-146-22-18-108-140-93-117-143-0-68-46-118-137-183-89-23-186-114-15-9-62-144-102-49-14-106-178-52-55-57-129-120-25-44-16-171-175"
5,72097,100,24785,96882,50000,379066,"53-180-154-135-70-127-123-162-151-133-79-80-63-94-176-51-118-59-116-65-149-35-84-112-4-190-10-177-54-48-34-160-184-43-42-181-41-193-115-46-68-139-159-146-22-18-108-140-93-117-0-143-183-89-23-137-186-114-15-9-62-144-14-102-148-49-106-178-52-55-57-92-179-196-81-90-165-40-185-129-2-1-101-75-16-171-175-113-56-31-145-78-25-44-120-152-97-26-100-86"
6,73046,100,25696,98742,50000,433144,"34-160-181-42-43-116-65-149-59-118-51-176-80-79-133-151-162-123-35-184-54-177-10-190-4-112-127-70-135-154-180-53-86-26-97-1-101-100-63-94-124-152-2-75-171-175-113-56-31-16-78-25-120-44-145-179-185-40-196-81-90-165-138-14-144-102-49-178-106-52-55-57-92-129-167-148-62-9-15-186-89-183-23-137-0-143-117-93-140-68-46-115-193-41-139-108-18-159-22-146"
7,74326,100,26357,100683,50000,301265,"148-124-94-152-2-75-101-1-97-86-26-100-121-53-154-180-63-79-133-80-151-118-59-65-42-181-160-34-48-54-177-184-35-84-4-112-127-70-135-162-123-149-131-43-116-115-41-159-146-22-18-108-69-193-139-68-46-51-176-137-0-117-143-183-89-23-186-114-15-102-49-178-90-165-185-40-179-196-81-157-31-175-113-171-16-44-25-145-78-120-129-92-57-55-52-106-14-144-62-9"
8,73763,100,25773,99536,50000,460642,"154-180-53-121-100-26-86-101-97-1-75-2-44-25-129-120-152-148-9-62-144-14-102-49-178-106-185-40-165-90-81-196-157-31-56-113-175-171-16-78-145-179-92-57-52-55-167-124-94-63-79-80-176-51-137-23-183-89-143-0-117-93-140-46-68-139-193-41-181-160-42-116-43-35-112-4-84-184-177-54-48-34-146-22-18-108-69-159-115-118-59-65-149-162-127-123-151-133-135-70"
9,75567,100,27870,103437,50000,666438,"70-135-154-180-53-26-100-97-86-75-101-1-152-2-120-44-25-175-31-113-16-171-129-92-145-78-196-81-90-165-119-40-185-52-55-57-49-14-144-106-178-102-62-9-15-114-183-89-117-143-0-137-23-186-148-124-94-63-79-80-176-151-162-133-51-59-118-46-68-139-115-5-34-146-159-22-18-108-41-193-65-43-42-181-160-48-54-184-116-131-149-35-84-177-10-190-4-112-123-127"
10,73342,100,25707,99049,50000,365122,"14-144-62-9-15-114-186-23-89-183-143-0-117-93-140-108-18-22-146-159-193-41-139-68-46-115-65-116-59-118-151-133-127-35-112-4-84-184-177-54-48-34-160-42-181-43-131-149-123-162-135-70-154-180-53-121-100-26-97-2-1-101-86-75-92-57-178-106-52-55-185-40-165-90-81-196-179-145-78-31-171-175-113-16-25-44-120-129-152-124-94-63-79-80-176-51-137-148-49-102"
