SolutionID,TotalCost,NumNodes,TotalDistance,ObjectiveFunction,TotalRunningTime,Cycle
1,70012,100,22579,92591,20007,"106-185-196-81-40-165-39-90-27-71-164-7-21-144-14-49-102-62-9-148-124-94-63-79-80-176-137-23-186-89-183-143-0-117-93-140-68-46-115-139-41-193-159-69-108-18-22-146-181-34-160-48-54-177-10-190-4-112-184-42-43-116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-86-75-101-1-97-152-2-120-44-25-16-171-175-113-31-78-145-179-92-129-57-55-52-178"
2,72042,100,23300,95342,20005,"97-152-189-94-80-176-51-118-59-116-65-149-123-162-151-133-79-63-53-180-154-135-70-127-112-4-84-190-10-177-54-48-160-184-43-42-5-181-34-146-22-18-108-69-159-193-41-139-115-46-68-93-117-0-143-183-89-23-137-186-15-148-9-62-144-14-49-178-106-52-57-129-92-78-145-185-40-165-39-95-7-164-71-27-90-81-196-157-31-113-175-171-16-44-120-2-75-86-101-1"
3,70946,100,22967,93913,20004,"21-7-164-71-27-90-81-196-157-31-56-113-175-171-16-78-145-92-57-55-129-25-44-120-2-152-97-1-101-75-86-53-180-154-135-70-127-123-112-4-184-10-177-54-160-34-181-42-43-65-116-115-46-68-139-41-193-159-146-22-18-69-108-140-93-117-0-143-183-89-186-23-137-176-80-51-118-59-162-151-133-79-63-94-124-148-9-62-144-14-49-178-106-52-185-40-119-165-39-95"
4,71006,100,22819,93825,20004,"93-140-68-46-115-139-41-193-159-69-108-18-20-22-146-181-34-160-48-54-30-177-10-4-112-84-184-42-43-116-65-59-118-51-151-162-123-127-70-135-154-180-53-100-86-101-75-120-44-16-171-175-113-31-78-145-196-81-40-185-165-39-90-27-71-164-7-21-14-144-62-9-148-102-49-178-106-52-55-57-92-129-2-1-97-152-94-63-79-133-80-176-137-23-186-89-183-143-0-117"
5,70274,100,21901,92175,20007,"129-57-55-52-178-106-185-40-119-165-90-27-71-164-7-21-144-14-49-102-62-9-148-167-124-94-63-79-80-176-137-23-186-89-183-143-0-117-93-140-68-46-115-139-41-193-159-69-108-18-22-146-181-34-160-48-54-30-177-10-190-4-112-184-42-43-116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-86-75-101-1-97-152-2-120-44-16-171-175-113-56-31-78-145-179-92"
6,70527,100,22391,92918,20012,"23-186-89-183-143-0-117-93-140-108-69-18-22-146-159-193-41-139-68-46-115-42-181-34-160-48-54-30-177-10-190-4-112-35-184-43-116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-121-100-86-75-101-1-97-152-2-120-44-25-16-171-175-113-31-78-145-92-57-55-52-178-106-185-165-40-196-81-90-27-164-7-21-14-49-144-62-9-148-111-124-94-63-79-80-176-137"
7,71643,100,22808,94451,20005,"46-68-139-41-193-159-146-22-18-69-108-140-93-117-0-143-183-89-186-23-137-176-80-79-63-94-124-111-148-9-62-144-14-49-178-106-52-185-40-165-39-95-7-164-71-27-90-81-196-145-31-56-113-175-171-16-44-25-78-92-57-129-120-2-152-97-1-101-75-86-100-53-180-154-135-70-127-112-4-190-10-177-184-54-48-160-34-181-42-43-116-65-149-123-162-133-151-51-59-115"
8,71258,100,23027,94285,20005,"143-183-89-186-23-137-176-80-79-63-94-124-167-148-15-9-62-102-49-14-144-21-7-164-71-27-90-81-196-40-165-185-106-178-52-55-57-129-92-179-145-78-31-113-175-171-16-44-120-2-75-86-101-1-152-97-100-121-53-180-154-70-135-133-151-162-123-127-112-4-84-184-177-54-160-34-181-42-43-116-65-59-51-118-115-46-198-139-41-193-159-146-22-18-69-108-140-93-117-0"
9,70478,100,22764,93242,20004,"181-42-160-34-48-54-177-10-190-112-4-184-43-116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-86-26-97-152-1-101-75-2-120-44-16-171-175-113-31-78-145-179-92-129-57-55-52-178-106-185-165-40-196-81-90-27-71-164-7-21-144-14-49-102-62-9-37-148-124-94-63-79-80-176-137-23-186-89-183-143-0-117-93-140-68-46-115-139-41-193-159-69-108-18-22-146"
10,71431,100,22844,94275,20002,"84-4-112-123-127-70-135-154-180-53-121-100-86-75-101-1-97-152-2-120-44-25-16-171-175-113-56-31-78-145-196-81-90-27-71-164-7-95-39-165-40-185-179-92-57-55-52-106-178-49-14-144-62-9-148-15-186-89-183-23-137-176-80-94-63-79-133-162-151-51-59-65-116-43-5-41-193-139-115-46-0-143-117-93-140-108-18-159-22-146-34-181-42-160-48-54-177-10-184-35"
