SolutionID,TotalCost,NumNodes,TotalDistance,ObjectiveFunction,TotalRunningTime,TotalIterations,Cycle
1,71765,100,23259,95024,49349,6695,"186-23-89-183-143-117-0-137-148-124-94-63-79-80-176-151-51-118-59-65-116-43-42-41-139-115-46-68-140-93-108-69-18-22-146-159-193-181-34-160-48-54-184-177-10-190-4-112-127-123-162-133-135-70-154-180-53-121-100-86-75-101-1-97-152-2-120-44-25-16-171-175-113-56-31-78-145-92-57-55-52-178-106-185-40-165-90-27-71-164-7-21-144-14-49-102-62-9-15-114"
2,69948,100,22224,92172,49352,6964,"196-81-90-27-71-164-7-21-144-14-49-102-62-9-148-167-124-94-63-79-80-176-137-23-186-89-183-143-0-117-93-140-68-46-115-139-41-193-159-69-108-18-22-146-34-160-48-54-177-10-190-4-112-35-184-42-43-116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-86-75-101-1-97-152-2-120-44-25-16-171-175-113-56-31-78-145-92-129-57-55-52-178-106-185-165-40"
3,70319,100,22798,93117,49351,6584,"80-63-79-133-151-162-123-127-70-135-154-180-53-94-152-97-86-75-101-1-2-120-44-25-16-171-175-113-56-31-78-145-179-92-129-57-55-52-178-106-185-165-40-196-81-90-27-71-164-7-21-144-14-49-102-62-9-148-137-23-186-89-183-143-0-117-93-140-68-46-115-139-41-193-159-69-108-18-22-146-181-34-160-48-54-30-177-10-4-112-35-184-42-43-116-65-59-118-51-176"
4,71901,100,23887,95788,49349,6600,"160-54-177-10-4-112-127-123-162-135-70-154-180-53-63-94-124-148-37-9-62-49-178-106-52-55-57-92-129-2-152-97-1-101-86-75-120-44-25-16-171-175-113-56-31-78-145-196-81-40-185-165-39-90-27-164-7-21-14-144-114-186-89-183-23-137-176-80-79-133-151-51-118-59-115-198-46-0-143-117-93-140-68-139-41-193-159-69-108-18-22-146-34-181-42-43-116-65-131-184"
5,70344,100,22562,92906,49352,6575,"178-52-55-57-129-92-179-145-78-31-113-175-171-16-25-44-120-2-152-97-1-101-75-86-53-180-154-135-70-127-123-162-133-151-51-118-59-65-116-43-184-35-112-4-10-177-30-54-48-34-160-42-5-115-46-68-139-41-193-159-146-22-18-69-108-93-140-117-0-143-183-89-186-23-137-176-80-79-63-94-124-148-9-62-102-49-14-144-21-7-164-71-27-90-81-196-40-165-185-106"
6,71444,100,23741,95185,49350,6699,"178-106-185-165-40-196-81-90-27-71-164-7-21-144-14-49-102-62-9-148-124-152-94-63-79-80-176-51-118-59-65-116-43-42-41-139-115-46-137-23-186-89-183-143-0-117-93-140-108-69-18-22-146-195-159-193-181-34-160-48-54-177-10-184-35-84-4-112-123-127-70-135-162-151-133-180-154-53-86-101-97-1-75-2-120-44-25-16-171-175-113-31-78-145-179-92-129-57-55-52"
7,71438,100,23527,94965,49352,6517,"178-49-14-144-21-7-164-71-27-90-165-185-40-81-196-145-78-31-113-175-171-16-25-44-120-75-86-53-180-154-135-70-127-123-162-149-65-116-43-184-35-112-4-10-177-54-48-160-34-181-42-96-41-193-159-146-22-18-69-108-140-93-117-143-0-46-139-115-59-118-51-151-133-79-80-176-137-23-183-89-186-15-62-9-148-124-94-63-121-101-1-97-152-2-129-92-57-55-52-106"
8,70892,100,22658,93550,49352,6326,"0-143-183-89-186-23-137-176-80-79-63-94-124-111-148-9-62-102-49-14-144-21-7-164-95-165-27-90-81-40-185-106-178-52-55-57-92-145-78-31-56-113-175-171-16-25-44-120-2-152-97-1-101-75-86-53-180-154-135-70-127-112-4-84-35-184-10-177-54-48-160-34-181-42-43-116-65-149-123-162-133-151-51-118-59-115-46-68-139-41-193-159-146-22-18-69-108-140-93-117"
9,70902,100,23187,94089,49350,6377,"94-152-97-1-101-75-86-53-180-154-135-70-127-123-162-133-151-51-118-59-65-116-43-184-35-112-4-190-10-177-54-48-160-34-181-42-41-193-159-146-22-18-108-69-139-115-46-68-140-93-117-0-143-183-89-23-186-114-15-144-14-21-7-164-71-27-90-39-165-185-40-81-196-145-78-31-113-175-171-16-44-120-2-129-92-57-55-52-106-178-49-102-62-9-148-137-176-80-79-63"
10,70790,100,22836,93626,49348,6509,"137-23-186-89-183-143-0-117-93-68-46-115-42-41-193-139-69-108-18-159-22-146-181-34-160-48-54-177-10-4-112-35-184-43-116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-121-100-86-75-101-1-97-152-2-120-44-25-16-171-175-113-31-78-145-179-196-81-90-27-71-164-7-95-39-165-40-185-92-129-57-55-52-106-178-49-14-144-62-9-148-124-94-63-79-80-176"
