SolutionID,TotalCost,NumNodes,TotalDistance,ObjectiveFunction,TotalRunningTime,TotalIterations,Cycle
1,70853,100,21583,92436,49356,6735,"154-180-53-121-100-86-75-101-1-97-152-2-120-44-25-16-171-175-113-31-78-145-92-57-55-52-178-106-185-40-165-90-27-71-164-7-21-144-14-49-102-62-9-37-148-111-124-94-63-79-80-176-137-23-186-89-183-143-0-117-93-140-108-18-69-139-68-46-115-41-193-159-22-146-181-34-160-48-54-177-10-190-4-112-35-184-42-43-116-65-59-118-51-151-133-162-123-127-70-135"
2,71488,100,24352,95840,49358,6739,"43-184-35-112-4-190-10-177-54-48-34-160-42-181-146-22-18-108-69-159-193-41-139-68-46-115-116-59-118-51-151-133-79-80-176-137-0-117-143-183-89-23-186-15-144-14-21-7-164-27-90-39-165-185-40-81-196-145-78-31-113-175-171-16-25-44-120-129-92-57-55-52-106-178-49-102-62-9-148-124-94-63-152-2-75-101-1-97-100-86-53-180-154-135-70-127-123-162-149-65"
3,71428,100,22772,94200,49357,6819,"140-117-0-143-183-89-186-23-137-148-9-62-49-14-144-21-7-164-71-27-90-81-196-40-119-165-185-106-178-52-55-57-92-145-78-31-56-113-175-171-16-25-44-120-2-75-86-101-1-97-152-94-63-53-180-154-135-70-127-29-112-4-84-184-10-177-54-48-160-34-181-146-22-159-193-41-96-42-43-116-65-149-123-162-151-133-79-80-176-51-118-59-115-46-68-139-69-18-108-93"
4,71653,100,23161,94814,49352,6566,"23-183-89-186-148-9-62-144-14-49-178-106-52-185-40-119-165-39-95-7-164-71-27-90-81-196-157-31-113-175-171-16-78-145-92-57-55-129-25-44-120-2-75-86-101-1-97-152-124-94-121-53-180-154-135-70-127-162-123-112-4-84-184-190-10-177-54-48-160-34-181-146-22-159-18-69-108-140-93-117-143-0-46-115-139-193-41-42-43-116-65-59-51-151-133-79-63-80-176-137"
5,70563,100,22369,92932,49351,6868,"185-57-55-52-106-178-49-14-144-62-9-148-124-94-63-79-80-176-137-23-186-89-183-143-0-117-93-140-108-69-18-22-146-159-193-41-139-68-46-115-96-42-181-34-160-48-54-177-10-4-112-35-184-43-116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-100-86-75-101-1-97-152-2-129-92-120-44-25-16-171-175-113-31-78-145-196-81-90-27-71-164-7-95-39-165-40"
6,71380,100,23810,95190,49356,6790,"145-78-31-113-175-171-16-44-120-75-86-53-180-154-135-70-127-123-162-149-65-116-43-184-112-4-190-10-177-30-54-48-160-34-181-42-41-193-159-146-22-18-69-108-140-93-117-143-0-46-68-139-115-59-118-51-151-133-79-63-80-176-137-23-183-89-186-15-62-9-148-124-94-152-97-1-101-2-129-92-57-55-52-106-178-49-102-144-14-165-39-95-7-164-27-90-81-196-40-185"
7,71290,100,22843,94133,49358,6789,"184-177-54-48-160-34-181-146-22-159-18-69-108-140-93-117-0-143-183-89-186-23-137-176-80-151-51-59-115-46-68-139-193-41-42-43-116-65-149-123-162-133-79-63-94-124-167-148-9-62-144-14-49-178-106-185-40-165-39-95-7-164-71-27-90-81-196-52-55-57-92-145-78-31-56-113-175-171-16-25-44-120-2-152-1-101-75-86-97-100-53-180-154-135-70-127-112-4-84-35"
8,70775,100,23119,93894,49352,6781,"144-15-114-186-137-23-89-183-143-0-117-93-68-46-139-115-42-41-193-159-69-108-18-22-146-34-160-48-54-30-177-10-4-112-35-184-43-116-65-59-118-51-176-80-63-79-133-151-162-123-127-70-135-154-180-53-121-86-75-101-1-97-152-94-124-148-9-62-102-49-178-106-52-55-57-92-129-2-120-44-25-16-171-175-113-31-78-145-196-81-40-185-165-39-90-27-164-7-21-14"
9,72231,100,23351,95582,49358,6520,"0-46-139-115-96-42-43-116-65-149-123-162-133-151-59-118-51-176-137-23-183-89-186-148-9-62-144-14-49-178-106-52-55-57-129-92-179-185-40-165-39-95-7-164-71-27-90-81-196-145-78-31-113-175-171-16-44-120-2-75-86-101-1-97-152-124-94-80-79-63-53-180-154-135-70-127-29-112-4-190-10-177-184-54-48-160-34-181-146-22-159-41-193-18-69-108-140-93-117-143"
10,71343,100,23475,94818,49359,6749,"113-31-78-145-196-81-40-185-165-39-90-27-71-164-7-21-14-144-62-9-49-178-106-52-55-57-92-129-2-101-1-97-152-148-124-94-63-79-80-133-151-162-59-118-51-176-137-23-186-89-183-143-0-117-93-140-68-46-115-139-41-193-159-69-108-18-22-146-34-181-42-43-116-65-131-35-184-160-48-54-30-177-10-190-4-112-123-127-70-135-154-180-53-86-75-120-44-16-171-175"
11,71154,100,23411,94565,49349,6586,"116-65-149-123-127-70-135-154-180-53-121-100-86-75-120-44-16-171-175-113-31-78-145-196-81-40-185-165-39-90-27-164-7-21-14-144-62-9-148-49-178-106-52-55-57-92-129-2-101-1-97-152-124-94-63-79-133-151-162-59-118-51-80-176-137-23-186-89-183-143-0-117-93-68-46-115-139-69-108-18-22-146-195-159-193-41-42-181-34-160-48-54-30-177-10-4-112-35-184-43"
