Run,MinCost,MaxCost,AvgCost,MinTime,MaxTime,AvgTime,NumSolutions,BestSolutionID,TotalRunTime
1,45692,52257,48286.28,206,360,239.53,200,109,47943
2,45582,52220,48265.73,208,270,238.76,200,59,47761
3,45996,51234,48457.19,212,273,239.84,200,22,47976
4,45050,51515,48341.55,211,276,238.50,200,73,47709
5,45811,52405,48320.65,214,275,238.72,200,49,47752
6,45956,52291,48267.01,214,382,252.37,200,18,50481
7,45627,51401,48458.93,211,405,251.81,200,18,50382
8,45428,51499,48422.75,212,405,251.00,200,159,50207
9,46046,51557,48320.85,210,388,251.16,200,193,50244
10,45802,51130,48259.51,205,400,252.90,200,176,50585
11,45859,51058,48304.95,218,389,254.12,200,23,50838
12,45481,52037,48236.07,213,386,251.45,200,182,50296
13,45662,51222,48445.86,214,396,253.03,200,20,50611
14,45552,51458,48402.50,210,412,256.46,200,161,51298
15,45208,51844,48395.18,213,379,252.37,200,173,50482
16,45925,51676,48351.08,209,424,258.52,200,91,51710
17,45659,51516,48221.37,216,388,255.81,200,167,51169
18,45898,50880,48146.04,214,390,255.33,200,191,51074
19,45302,50901,48417.82,215,1132,271.66,200,141,54337
20,45454,51066,48262.36,214,711,264.14,200,71,52836

OVERALL,45050,52405,48329.18,205,1132,251.37,4000,673,50284.55

RUN TIME STATS:,MinRunTime,MaxRunTime,AvgRunTime
,47709,54337,50284.55
