SolutionID,TotalCost,NumNodes,TotalDistance,ObjectiveFunction,TotalRunningTime,TotalIterations,Cycle
1,69675,100,21997,91672,46809,0,"54-177-10-190-4-112-84-35-184-42-43-116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-100-26-86-75-120-44-25-16-171-175-113-56-31-78-145-179-196-81-90-165-40-185-106-178-3-14-144-62-9-148-102-49-52-55-57-92-129-2-101-1-97-152-124-94-63-79-80-176-137-23-186-89-183-143-0-117-93-140-68-46-115-139-41-193-159-69-108-18-22-146-181-34-160-48"
2,69675,100,21997,91672,46850,0,"54-48-160-34-181-146-22-18-108-69-159-193-41-139-115-46-68-140-93-117-0-143-183-89-186-23-137-176-80-79-63-94-124-152-97-1-101-2-129-92-57-55-52-49-102-148-9-62-144-14-3-178-106-185-40-165-90-81-196-179-145-78-31-56-113-175-171-16-25-44-120-75-86-26-100-53-180-154-135-70-127-123-162-133-151-51-118-59-65-116-43-42-184-35-84-112-4-190-10-177"
3,69675,100,21997,91672,47392,0,"54-48-160-34-181-146-22-18-108-69-159-193-41-139-115-46-68-140-93-117-0-143-183-89-186-23-137-176-80-79-63-94-124-152-97-1-101-2-129-92-57-55-52-49-102-148-9-62-144-14-3-178-106-185-40-165-90-81-196-179-145-78-31-56-113-175-171-16-25-44-120-75-86-26-100-53-180-154-135-70-127-123-162-133-151-51-118-59-65-116-43-42-184-35-84-112-4-190-10-177"
4,63720,92,22367,86087,46829,0,"90-27-165-40-185-138-14-144-15-114-186-23-89-183-143-117-0-137-176-80-51-118-59-115-46-68-139-42-41-193-159-18-22-34-160-54-177-10-190-184-43-116-65-149-123-127-162-151-133-79-63-180-135-154-53-26-86-75-101-1-97-152-94-124-148-9-62-102-49-178-106-52-55-57-92-129-2-120-44-25-16-171-175-113-56-31-157-78-145-179-196-81"
5,69654,100,22003,91657,46757,0,"55-52-179-145-78-16-171-175-113-56-31-157-196-81-90-165-40-185-106-178-14-49-102-144-62-9-148-124-94-63-79-80-176-137-23-186-89-183-143-0-117-93-140-108-69-18-159-22-146-34-48-54-177-10-190-4-112-84-35-184-160-181-42-41-193-139-68-46-115-43-116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-100-26-86-75-101-1-97-152-2-120-44-25-129-92-57"
6,69465,100,21787,91252,46856,0,"106-52-55-57-92-179-185-40-165-90-81-196-145-78-31-56-113-175-171-16-25-44-120-129-2-152-97-1-101-75-86-26-100-53-180-154-135-70-127-123-162-133-151-51-118-59-65-116-43-184-35-84-112-4-190-10-177-54-48-160-34-181-146-22-18-108-69-159-193-41-42-115-139-46-68-140-93-117-0-143-183-89-186-23-137-176-80-79-63-94-124-148-9-62-102-49-144-14-3-178"
7,69824,100,22058,91882,46882,0,"177-54-48-34-160-42-181-146-22-18-108-69-159-193-41-139-115-46-68-140-93-117-0-143-183-89-186-23-137-176-80-79-63-94-124-152-97-1-101-2-129-92-57-55-52-49-102-148-9-62-144-14-3-178-106-185-40-119-165-90-81-196-179-145-78-31-56-113-175-171-16-25-44-120-75-86-26-100-53-180-154-135-70-127-123-162-133-151-51-118-59-65-116-43-184-84-112-4-190-10"
8,69647,100,21881,91528,46922,0,"116-65-59-118-51-151-133-162-123-127-70-135-154-180-53-100-26-86-75-120-44-25-16-171-175-113-56-31-78-145-179-196-81-90-165-119-40-185-106-178-3-14-144-62-9-148-102-49-52-55-57-92-129-2-101-1-97-152-124-94-63-79-80-176-137-23-186-89-183-143-0-117-93-140-68-46-115-139-41-193-159-69-108-18-22-146-181-34-160-48-54-177-10-190-4-112-84-184-42-43"
9,69675,100,21997,91672,46851,0,"54-48-160-34-181-146-22-18-108-69-159-193-41-139-115-46-68-140-93-117-0-143-183-89-186-23-137-176-80-79-63-94-124-152-97-1-101-2-129-92-57-55-52-49-102-148-9-62-144-14-3-178-106-185-40-165-90-81-196-179-145-78-31-56-113-175-171-16-25-44-120-75-86-26-100-53-180-154-135-70-127-123-162-133-151-51-118-59-65-116-43-42-184-35-84-112-4-190-10-177"
10,69851,100,22173,92024,46853,0,"35-184-190-10-177-54-48-160-34-181-146-22-159-193-41-139-115-42-43-116-65-59-118-46-68-69-18-108-140-93-117-0-143-183-89-186-23-137-51-151-162-133-176-80-79-63-94-124-148-9-62-102-49-144-14-3-178-106-52-55-57-129-92-78-145-179-185-40-165-90-81-196-31-56-113-175-171-16-25-44-120-2-152-97-1-101-75-86-26-100-53-180-154-135-70-127-123-112-4-84"
11,59293,86,20721,80014,46889,0,"186-144-14-106-185-40-165-27-90-81-196-179-145-78-31-113-175-171-16-44-120-129-92-57-52-178-49-102-62-9-148-167-124-94-152-97-1-101-75-86-26-100-121-53-154-70-135-180-63-79-133-151-162-127-123-149-65-116-184-10-177-54-48-160-34-103-146-22-159-181-42-41-193-139-68-46-115-59-118-51-80-176-137-23-183-89"
12,69312,100,21504,90816,47021,0,"54-177-10-190-4-112-84-184-160-181-42-43-116-65-59-118-51-151-162-123-127-70-135-154-180-53-100-26-86-75-101-1-97-152-2-120-44-25-129-92-57-179-145-78-16-171-175-113-56-31-157-196-81-90-165-40-185-55-52-106-178-3-49-14-144-102-62-9-148-124-94-63-79-133-80-176-137-23-186-89-183-143-0-117-93-140-68-46-115-139-41-193-159-69-108-18-22-146-34-48"
13,69981,100,22241,92222,46888,0,"116-65-131-149-59-118-51-151-133-162-123-127-70-135-154-180-53-100-26-86-75-120-44-25-16-171-175-113-56-31-78-145-179-196-81-90-165-40-185-106-178-3-14-144-62-9-148-102-49-52-55-57-92-129-2-101-1-97-152-124-94-63-79-80-176-137-23-186-89-183-143-117-0-46-68-139-115-41-193-159-69-108-18-22-146-181-34-160-48-54-177-10-190-4-112-84-35-184-42-43"
14,69597,100,22092,91689,46912,0,"34-181-146-22-18-108-69-159-193-41-139-115-46-68-140-93-117-0-143-183-89-186-23-137-176-80-79-63-94-124-152-97-1-101-2-129-92-57-55-52-167-148-9-62-144-14-102-49-178-106-185-40-165-90-81-196-179-145-78-31-56-113-175-171-16-25-44-120-75-86-26-100-53-180-154-135-70-127-123-162-133-151-51-118-59-65-116-43-42-184-35-84-112-4-190-10-177-54-48-160"
15,69539,100,22145,91684,46757,0,"10-177-54-48-34-146-22-18-108-69-159-193-41-139-115-46-68-140-93-117-0-143-183-89-186-23-137-176-80-79-63-94-124-148-9-62-102-144-14-49-178-106-52-55-185-40-165-90-81-196-179-57-129-92-145-31-56-113-175-171-16-78-25-44-120-2-152-97-1-101-75-86-26-100-53-180-154-135-70-127-123-149-162-133-151-51-118-59-65-116-43-42-181-160-184-35-84-112-4-190"
